Title,Company,Location,Description,URL
Senior Marketing Data Scientist,National Funding,"San Diego, CA 92121","National Funding is continuing to grow its Analytics Department and has an exciting opportunity as a Senior Data Scientist. This high-profile role is at the center of activity for the company and is a major driver and contributor to National Funding's core strategy and growth. We are looking for a data-driven individual with excellent analytical skills and experience to work alongside business stakeholders primarily on our Direct Marketing team to deliver insights and make recommendations. Senior Data Scientist Major Responsibilities Provides analytic support and strategic thought partnership to Direct Marketing team The ideal candidate will have the ability to tell stories with the data, communicate effectively and instill confidence in recommendations to motivate stakeholders to take action Builds recommendations by synthesizing data from multiple sources, developing assumptions where needed, to drive business insights and strategy development Delivers key insights with interpretation and recommendation, contributes to the development of hypotheses and actions, and presents them to management team Partners with Marketing leaders to identify key customer segments and contributes to the execution of various campaigns and initiatives Develop statistical models to aide in selection of prospects for direct mail campaigns Develops new and better analytics approaches to solve questions in a creative way The Ideal Candidate 3-5 years of experience in data analysis, preferably in Direct Marketing Hands-on expertise with data mining and statistical modeling techniques such as clustering, classification, regression, tree-based methods, neural nets, support vector machines, anomaly detection, and natural language processing Proven leadership within a data-driven organization with the ability to influence decisions Strong knowledge of SQL and/or SAS Experience with SAS, R, Python and other data modeling tools Strong analytical and problem solving skills Experience with Tableau (preferred) or similar BI tools Experience with A/B testing setup and evaluation preferred Outstanding communication skills with both technical and non-technical colleagues Prefer candidates with experience in Finance, Mortgage, Banking",https://www.indeed.com/viewjob?jk=e1bd0f525c1214fc
Data Scientist/Economist/Researcher – Future Pricing Strategy,HP,"San Diego, CA 92127","Who we are Our vision is to create technology that makes life better for everyone, everywhere — every person, every organization, and every community around the globe. This motivates us — inspires us — to do what we do. To make what we make. To invent, and to reinvent. To engineer experiences that amaze. We won’t stop pushing ahead, because you won’t stop pushing ahead. You’re reinventing how you work. How you play. How you live. With our technology, you’ll reinvent your world What we offer Exciting experience with data science’s and analytics’ hottest topics: HP’s Analytics team is covering a wide range of exciting, fast-growing and business critical areas such as: Big data SKU level pricing (in a space of millions of transactions), SEM/Display optimization in the world’s leading channels platforms (e.g. Google, Amazon, JD…) and predictive analytics in the area of sales management (which accounts to target, with what offer …) Career building platform- HP’s analytics team has a large and global footprint across the world offering many possibilities to advance one’s career International, collaborative and dynamic team - We are a very dynamic, highly skilled and diverse global team consisting of economists, consultants, marketers, statisticians, engineers, scientists or even musicians united by the passion to create impact using technology Position overview In this position you would get the chance to Shape HP’s future of how we price and introduce new products Develop and apply statistical methods and experimentation to analyze the effect of pricing and sales decisions on business performance Collaborate and work closely with our internal business teams to drive action Present results and recommendations to relevant stakeholders, including senior leadership About you: You have deep interests in pricing, business strategy, and consumer behaviour You are passionate about unveiling answers to most difficult questions using data and models You feel accomplished seeing your recommendations being implemented while shopping for yourself You can’t stop thinking about learning something new every day and enjoy being surrounded by highly talented people Requirements: Must-haves: At least 2 years’ working experience in data science in a business setting Experience interacting with stakeholders and translating business questions to models Ability to deploy, interpret, and troubleshoot linear regression models Working understanding of causal inference methods Proficiency with R and/or Python Excellent written and verbal communication for technical and non-technical audiences Ability to think creatively and invent original solutions to business and modelling challenges Proficiency in Microsoft Excel and Microsoft PowerPoint Bonus points for: Understanding of finance and product economics Experience in deploying data science in a retail environment Experience in designing, deploying, and analyzing in-market experiments and/or AB tests Master's or PhD degree in Quantitative Marketing, Business, Statistics, Economics, Psychology, or other relevant quantitative discipline",https://www.indeed.com/viewjob?jk=c7c6c83e346f8ea8
"Research Scientist I, Structural Biologist - CryoEM Data Scientist",Vertex Pharmaceuticals,"San Diego, CA 92121","Vertex Pharmaceuticals is seeking a highly motivated and experienced CryoEM Data Scientist to join our San Diego Protein Sciences team. The individual will provide leadership and vision to the development, automation, and implementation of efficient approaches for CryoEM data collection, image processing, 3D-structure determination, and analysis. This includes development and implementation of state-of-the-art algorithms and methods to optimize and improve current CryoEM structural biology workflows to deliver high resolution structures of proteins within and outside its cellular context. The ideal candidate will be responsible to relate his/her work to the company’s drug discovery strategies, accelerate mechanism of action studies and facilitate structure-based design of new therapeutics. The candidate must be team-oriented with a desire to collaborate in a creative and dynamic work environment. Specific responsibilities include: Hands-on computational work to improve and automate current CryoEM workflows from data acquisition to 3D structure determination Stay on top of latest CryoEM technological advances in order to develop and integrate optimized software, imaging, and processing algorithms to support high resolution 3D structure determination of proteins within and outside its cellular context Resolve protein dynamics and/or multiple molecular states from structural data Present regular research updates to protein sciences, cross-functional, and project teams Work effectively in a fast-paced matrix environment and serve as a representative on cross-site or external collaborations Minimum Qualifications: Ph.D. in Life Sciences and 3+ years of relevant CryoEM experience in integral membrane protein structural biology evidenced by scientific publications in high impact journals, industry experience is a plus Track record of hands-on development and integration of cutting-edge CryoEM imaging and data processing algorithms and/or software to deliver 3D protein structures. Experience with Cryo-electron tomography is a plus Demonstrated ability to independently identify and solve tough problems across several projects Excellent collaboration, communication (oral and written) and multitasking skills and able to present work formally to Scientific Research Committees Ability to propose and/or support external collaborations leading to innovative solutions Ability to navigate and be successful in a fast-paced, highly matrixed work environment A desire to be part of a highly innovative company aimed at transforming the lives of people with serious diseases, their families and society.",https://www.indeed.com/viewjob?jk=e23859fc9b8c374f
Lead Data Scientist,Roc Search,"San Diego, CA","Roc Search is currently recruiting for a Chief Data Scientist to join an exciting and innovative medical client looking to revolutionize cancer imaging technology.In this role you will be working primarily to implement the new Data Science framework the company has laid out while also working close with the Research and Development team.This is an exciting opportunity where you'll be responsible for getting the Data Science department off the ground and developing this company's core Data Science System!Required Skills Include:5+ years experience in Data Science fieldAzure or AWSExperience leading a teamMaster's Degree or higherLocation – San Diego, CAW2 Rate – Negotiable dependent on experienceLength – 6 months to hireJob Types: Full-time, Part-time, ContractJob Types: Full-time, ContractPay: Up to $95.00 per hourBenefits:Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Preferred)Contract Renewal:LikelyFull Time Opportunity:YesWork Remotely:Yes, temporarily due to COVID-19",https://www.indeed.com/viewjob?jk=979fe17de2ecdf0b
Data Scientist,Dexcom,"San Diego, CA","About Dexcom: Dexcom, Inc. empowers people to take control of diabetes through innovative continuous glucose monitoring (CGM) systems. Headquartered in San Diego, California, Dexcom has emerged as a leader of diabetes care technology. By listening to the needs of users, caregivers, and providers, Dexcom simplifies and improves diabetes management around the world.  Summary: Recently formed, the New Markets organization is an expanding, fully-dedicated team focused on creating significant value by driving Dexcom’s world-class continuous glucose monitoring (CGM) technology into new applications, such as non-intensive type 2 diabetes, prediabetes, the hospital and managed care facilities, and pregnancy (including gestational diabetes). These important initiatives are entrepreneurial by nature, as they may require novel go-to-market strategies and new technologies. Each member of this team will play a critical role in helping the New Markets organization first explore then realize the significant potential that exists within these exciting new opportunities.  Functional Description: Technical Individual Contributor  Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.  Essential Duties & Responsibilities: Organize and merge data from multiple sources, and run data quality assurance checksPerform statistical analysis, data visualization and interpretation using best practices and statistical methods to provide meaningful insights to technical and business teamsPrepare summary statistics, tables and figures for reports, presentations and publicationsCoordinate with clinical associates, data scientists and engineers to ensure the accuracy and efficiency of the data collection and data entry processesIdentify the bottlenecks of data processing and analysis, propose and implement solutions such as automating data pipelines and optimizing database queriesPerform other responsibilities as assigned and requested  Required Qualifications:Experience in quantitative analysis and statisticsSolid SQL and Excel skills for data querying and manipulationProficiency in R or Python programmingFamiliarity with visualization software and techniques such as Tableau or other BI softwareEffective presentation skills in PowerPointWell-organized, proactive and detail-oriented with effective time management skillsExcellent written and verbal communications skills  Preferred Qualifications:Experience working in a big data cloud environment such as Google Cloud Platform (GCP) and BigQueryWorking knowledge with SAS is a plus  Experience and Education Requirements: Typically requires a Bachelor’s degree in a technical discipline, and a minimum of 2-5 years related experience or Master’s degree and 0-2 years’ equivalent experience.  Travel Required: Up to 25%  Functional/Business Knowledge: Possesses a high level of theoretical knowledge. Ability to deliver technical ideas that have an impact on the objectives. Understands organizational and functional processes and policies aligned to the technical and business goals.  Scope: Demonstrates technical proficiency. Works on moderately complex problems where analysis of situations or data requires evaluation. Exercises judgment within generally defined practices and policies in selecting methods and techniques for obtaining solutions. Interprets data and draws conclusions regarding results used in presented material.  Judgement: Exercises judgment within defined procedures and practices to determine appropriate action. Normally receives general instructions on routine work, detailed instructions on new projects or assignments.  An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.  If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact Talent Acquisition at talentacquisition@dexcom.com.  To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Dexcom. Only authorized staffing and recruiting agencies may use this site or to submit profiles, applications or resumes on specific requisitions. Dexcom does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to the Talent Acquisition team, Dexcom employees or any other company location. Dexcom is not responsible for any fees related to unsolicited resumes/applications.",https://www.indeed.com/viewjob?jk=230f75d1488d45e6
"Data Scientist, Screening",AppFolio,"San Diego, CA","Hi, We’re AppFolio. We’re innovators, changemakers, and collaborators. We’re more than just a software company — we’re a cloud-based powerhouse that creates products to make our customers’ lives easier. We’re revolutionizing the way people do business, and we want your ideas, your enthusiasm, and your passion to help us keep on innovating. We love where we work, and you can, too. Who Are We Looking For? A Data Scientist who will identify opportunities to increase accuracy of public record reporting while optimizing operational efficiency of our tenant screening product What You’ll Do Design, implement, and continuously refine a strategy for maximizing accuracy of reported public records Data Sampling - Determine sample size, sampling periods, stratas and clusters for sampling of public record data Model Instrumentation - Work with product teams to implement & improve automated algorithms that identify, classify, and filter data, reducing the need for manual reviews Quality Assurance - Build monitoring dashboards that provide informative & actionable insights, to help improve/maintain product accuracy and performance across jurisdictions and record types (criminal, eviction) Business Reporting - Clearly communicate all findings and insights to stakeholders in Value Added Services, Product, Legal, and Compliance, to enable business & product decisioning Maximize operational efficiency while improving/maintaining the accuracy of reported records, via exploratory analyses, opportunity identification, goal-setting, and operational performance tracking. Design, monitor & continuously improve a testing ""sandbox"" program for new screening products, features, filters, data sources, and procedures. Develop deep expertise of the public records landscape & Fair Credit Reporting Act to inform our data quality strategy. What We’re Looking For Business acumen – understands key challenges facing our business and partners with key stakeholders to find creative ways to apply data science to solve them; connects dots between data & business outcomes Data Science & Analytics skills – able to identify, measure, model, and impact the important metrics needed to manage and monitor data quality; able to simplify complex content Attention to detail – appropriately checks all work for errors and does not let important details slip when it comes to data and its accuracy Creative problem solving - able to use creativity and curiosity as tools to pick apart any problem, producing a solution which is relevant and realistic Efficiency – able to quickly iterate on data generation and refinement. Looks for ways to improve processes to maximize efficiency and remove redundancy Must-Haves MS or higher in Computer Science, Mathematics, Statistics or a related field; or equivalent professional experience. Minimum of 3-5 years of work experience in a Data Science role. Strong Tableau, SQL, R, Python and Excel skills required. Experience with Machine Learning techniques and Scoring models. Working knowledge of Salesforce suggested. Ability to support, work and communicate with a fast, cross-functional team.  Our Story AppFolio (NASDAQ: APPF) was founded in 2006 with the mission to revolutionize vertical industry businesses by providing great software and service. Our easy-to-use, cloud-based software helps our customers more effectively market, manage, and grow their businesses. Our software solutions exist in the real estate vertical, including AppFolio Property Manager and AppFolio Investment Management To find out more about what AppFolio has to offer, check out appfolioinc.com/careers.",https://www.indeed.com/viewjob?jk=24d7a7cedb567477
Sr. Data Scientist- Machine Learning/AI *REMOTE*,BD,"San Diego, CA 92130","Job Description Summary Job Description The Sr. Data Scientist is driven by an interest in solving complex problems through data exploration, model building and building data products. They are highly analytically minded and have a robust technical tool kit. They are a mid-career professional with portfolio of modeling experience in industry (preferably healthcare sector). The Sr. Data Scientist will be responsible for executing all steps in the analytic process to produce high quality, production ready ML models. They will work with a team of Data Scientists & Analysts to support the development of processes and technologies to improve patient outcomes. This role is responsible for extracting, managing, and analyzing complex administrative healthcare data and applying ML/AI concepts to uncover opportunities for product development. This is a remote position. Responsibilities Develop algorithms and applications to apply mathematics to data, perform large scale experimentation and develop functionality Work on large scale real-world health data for evidence generation and to drive innovation via the use of data driven insights to our customers biggest problems Build and advocate data-driven solutions that help customers improve clinical outcomes and processes Design and build scalable production-ready analytics solutions using a wide array of techniques and methodologies in the field of statistical modeling, machine learning, and other AI technologies to meet the needs of given client engagements Design and develop Machine Learning & Statistical Models (using R & Python), and other data analysis techniques to collect, explore, and extract insights from structured and unstructured electronic health record data Requirements Minimum of master’s degree in Computer Science, Statistics, Engineering, Physics, or other highly quantitative and technically oriented field and 3+ years of professional work experience as a quantitative analyst or applied analytics technical leader (healthcare experience preferred) Mastery of statistical software, scripting languages, and packages- preferred R, Python, SQL SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of other databases/date-sources. Solid understanding of data structures, software design and architecture. Ability to work independently and take initiative, but also a co-operative team player. Proficient at interpreting business questions and applying concepts to data Excellent Communication and presentation skills, proficiency in data interpretation Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status. #LI-TECH Primary Work Location USA CA - San Diego TC Bldg C&D Additional Locations Work Shift",https://www.indeed.com/viewjob?jk=f4c866feb1216496
Senior Data Scientist,Intuit,"San Diego, CA 92129","Overview Intuit is looking for innovative and hands-on Senior Data scientist to join the Intuit AI team. This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security, and enhance customer care. We aim to save our customers time (""Never enter data""), increase their prosperity by making actionable financial recommendations, and enable them to have complete confidence in our products What you'll bring BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.) 1+ years of industry experience with data science 1+ years of experience in modern advanced analytical tools and programming languages such as R or Python with scikit-learn Efficient in SQL, Hive, or SparkSQL, etc. Comfortable in Linux environment 1+ years of experience in data mining algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, anomaly detection, recommender systems, sequential pattern discovery, and text mining Solid communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiences How you will lead In this role, you’ll Perform hands-on data analysis and modeling with huge data sets Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders Explore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliver",https://www.indeed.com/viewjob?jk=004aaf417c27360f
"Sr. Data Scientist, Product Quality, Human Evaluations - Apple Media Products",Apple,"San Diego, CA","Summary Posted: Nov 16, 2020 Role Number:200206404 Are you passionate about analyzing data patterns for large scale search engines? The Apple Media Products (AMP) Engineering team is one of the most exciting examples of Apple’s long-held passion for combining art and technology! These are the people who power the App Store, Apple TV, Apple Music, Apple Podcasts, and Apple Books. As a Sr Data Scientist you will be a product specialist and analyze a diverse portfolio of AMP human evaluations tasks. We represent user’s perspective as we vet new features being introduced to AMP. Our day-to-day responsibilities will include analyzing and crafting innovative ideas to help improve AMP search and recommendations features, and reporting detailed issues to leadership, engineering, and product teams. If you have deep understanding of software development for machine-learned products and services, and how analytics and human evaluation data can help improve those products, this is the role for you! On this team you will work with leadership to build a strategy that allows us to use our data to build automatic feedback loops that improves AMP products. Here we own and promote best practices for product analysis, measurement, and instrumentation. Lead human evaluation design and management exercises. Key Qualifications At least 5 years proven experience in related field. Experience working with systems and products that are powered by machine-learned models and an understanding of natural language or speech-enabled products. A demonstrated passion for data analysis, data-informed product innovation, building and shaping data culture Proven experience with at least one data-querying language (SQL and/or Spark, etc.) as well as with a scripting language for data processing and development (e.g., Python, R, or Scala) You use good judgment balancing art and science when visually presenting information (e.g. Tableau, Superset, GGplot, D3). Capable of driving projects of varying sizes and scopes - some will take months and some weeks — and you will need to know when to dive deep. Ability to lead complex relationships across multiple functions and establish positive relationships. Outstanding communication and presentation skills, written and verbal, to all levels of an organization. Self-sufficient in analyzing and drawing conclusions about the quality and product opportunity from raw and refined product data. Good product sense, with the ability to translate between product goals, business goals and technical requirements for data analytics. Self-motivated and proactive, with proven creative and critical thinking capabilities. Innate capability to, directly and indirectly, lead large teams for success. Description - Lead the product vision and project execution for offline evaluations for Apple Music through Search, Recommendations, and Siri - Partner with Product teams to define KPIs and build dashboards to monitor the performance of our AMP products. Define the instrumentation required for yielding sufficient data - Foster an industry-leading privacy-focused strategy for product measurement, evaluation, and analytics for Apple Music - Evaluate and improve the quality of KPIs for key products by analyzing customer pain points. Empower others to understand and leverage data for decision making - Ensure the measurement of new features are designed and instrumented in every release cycle. Productize dashboards that help product teams to improve Search & Recommendations every day - Keep teams focused on the right priorities to meet deadlines; clearly, communicate project progress to leads and executive team. As a Sr Data Scientist will also mentor other Data Scientists, and help them to develop their projects Education & Experience Masters or PhD with 4+ years of experience, with a focus in quantitative field such as Statistics, Operational Research, Economics, Psychology, Computer Science, Sociology, Mathematics, Physics, or similar quantitative field. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit jobs.apple.com to learn more. If you do not consent to Apple storing your information in our system for Recruiting purposes, please reply to this email requesting deletion. For more information on Apple’s privacy policy please visit https://www.apple.com/legal/privacy/.c",https://www.indeed.com/viewjob?jk=16ac78b04b682e6f
Deep Learning Data Scientist,Intel,"San Diego, CA 92129","Job Description  Plans, designs and develops tools and models for deep learning that combine unsupervised and supervised learning. Develop deep learning frameworks including deep network construction, network architecture and hyper parameter tuning. Develop new deep learning algorithms to exploit novel distributed processor architectures. Utilizes efficient data loading and data augmentation techniques. Experience designing professional software using Python, C++. Drive to solve customers' problems using technical creativity and hard work. Master's or PhD in computer science, electrical engineering or related fields (statistics, applied math, computational neuroscience).  Qualifications  Required Qualifications: Ph.D. in computer science, electrical engineering, or related fields (statistics, applied math, computational neuroscience) 3+ years of hands-on experience with deep learning research and model development.  Preferred Qualifications: Multiple peer reviewed machine learning publications in prominent industry journalsExperience running experiments on cluster software (e.g. Kubernetes) Inside this Business Group  Intel Labs is the company's world-class, industry leading research organization, responsible for driving Intel's technology pipeline and creating new opportunities. The mission of Intel Labs is to deliver breakthrough technologies to fuel Intel's growth. This includes identifying and exploring compelling new technologies and high risk opportunities ahead of business unit investment and demonstrating first-to-market technologies and innovative new usages for computing technology. Intel Labs engages the leading thinkers in academia and industry in addition to partnering closely with Intel business units.  Other Locations  US, California, Santa Clara  Posting Statement  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.",https://www.indeed.com/viewjob?jk=1deb45b0dde424a7
